taxa_id,genus,species
568076,Metarhizium,robertsii
53326,Ancylostoma,ceylanicum
4155,Erythranthe,guttata
7160,Aedes,albopictus
30076,Triatoma,infestans
34607,Amblyomma,cajennense
251391,Amblyomma,parvum
251400,Amblyomma,triste
7227,Drosophila,melanogaster
1378113,Asthenodipsas,lasgalenensis
1435083,Loxosceles,sp.
9606,Homo,sapiens
79622,Calonectris,leucomelas
65357,Albugo,candida
157072,Aphanomyces,invadans
443821,Cerapachys,biroi
27457,Bactrocera,dorsalis
6282,Onchocerca,volvulus
691883,Fonticula,alba
71139,Eucalyptus,grandis
1291522,Helicosporidium,sp.
273567,Protea,parvula
263448,Cercopithecus,wolfi
3381,Gnetum,montanum
1503164,Cyanidiaceae,sp.
4786,Phytophthora,cryptogea
4577,Zea,mays
7091,Bombyx,mori
5854,Plasmodium,reichenowi
5643,Trametes,cinnabarina
1491612,Exocelina,patepensis
409370,Blastobotrys,adeninivorans
8022,Oncorhynchus,mykiss
36022,Cyberlindnera,fabianii
5286,Rhodotorula,toruloides
5866,Babesia,bigemina
3641,Theobroma,cacao
10029,Cricetulus,griseus
6928,Cupiennius,salei
582737,Tetraselmis,sp.
1159556,Ustilaginoidea,virens
1173701,Colletotrichum,sublineola
2711,Citrus,sinensis
180498,Jatropha,curcas
136037,Zootermopsis,nevadensis
1381984,Chorizanthe,stellulata
407941,Teratosphaeria,considenianae
1233216,Lyrurus,tetrix
1454253,Diaporthe,sp.
145453,Calliphora,stygia
49390,Coffea,canephora
6210,Echinococcus,granulosus
85433,Hymenolepis,microstoma
6211,Echinococcus,multilocularis
65343,Panstrongylus,megistus
3880,Medicago,truncatula
99158,Hammondia,hammondi
6198,Opisthorchis,viverrini
396694,Brachionus,diversicornis
1235664,Yushania,levigata
863009,Indocalamus,wilsonii
648681,Clitopilus,hobsonii
225159,Lottia,digitalis
50745,Andreaea,rothii
256688,Sporophila,bouvreuil
3436,Persea,borbonia
1458979,Micromeria,gomerensis
573971,Sternotherus,carinatus
32553,Ningaui,ridei
148094,Mesophylla,macconnelli
58530,Aegilops,sharonensis
798360,Pectinariophyes,stalii
1529384,Bacillariophycidae,sp.
1504081,Grapholitini,sp.
6551,Mytilus,trossulus
299642,Nephila,pilipes
1536671,Vulcanolepas,scotiaensis
280849,Dendrocalamus,brandisii
256677,Trioceros,werneri
181602,Kuraishia,floccosa
75038,Scatophagus,argus
1518653,Xiphydriidae,sp.
80971,Amphiprion,frenatus
1540182,Graminitigrina,bowensis
4565,Triticum,aestivum
688394,Lichtheimia,ramosa
5861,Plasmodium,yoelii
36087,Trichuris,trichiura
5949,Stylonychia,lemnae
3708,Brassica,napus
84753,Moesziomyces,antarcticus
563466,Scedosporium,apiospermum
74873,Anopheles,sinensis
68888,Trichuris,suis
50452,Arabis,alpina
9233,Aptenodytes,forsteri
3075,Auxenochlorella,protothecoides
407821,Stegodyphus,mimosarum
48698,Poecilia,formosa
7460,Apis,mellifera
1290242,Narcissus,obesus
232242,Coptotermes,gestroi
1202013,Crematogaster,acuta
257669,Apterostigma,auriculatum
1539554,Tropidomyrmex,elianae
28733,Vireo,olivaceus
263974,Bacopa,monnieri
5679,Leishmania,panamensis
7757,Petromyzon,marinus
1546358,Rubus,silvae-bohemicae
1549163,Cyclotella,sp.
216768,Rhizosolenia,imbricata
3505,Betula,pendula
34506,Strongyloides,ratti
70448,Ostreococcus,tauri
34613,Ixodes,ricinus
885580,Fukomys,damarensis
85066,Corvus,brachyrhynchos
55661,Cuculus,canorus
9244,Calypte,anna
188379,Egretta,garzetta
57412,Colius,striatus
187382,Chlamydotis,macqueenii
43455,Cathartes,aura
54380,Cariama,cristata
57068,Acanthisitta,chloris
57397,Apaloderma,vittatum
8969,Haliaeetus,albicilla
188344,Leptosomus,discolor
57421,Merops,nubicus
54374,Mesitornis,unicolor
176057,Nestor,notabilis
36300,Pelecanus,crispus
97097,Phaethon,lepturus
128390,Nipponia,nippon
30419,Opisthocomus,hoazin
8897,Chaetura,pelagica
240206,Pterocles,gutturalis
121530,Tauraco,erythrolophus
56313,Tyto,alba
37040,Gavia,stellata
118200,Picoides,pubescens
30455,Fulmarus,glacialis
54383,Eurypyga,helias
9238,Pygoscelis,adeliae
9209,Phalacrocorax,carbo
328815,Manacus,vitellinus
1391699,Pseudogymnoascus,sp.
1437433,Pseudogymnoascus,sp.
1420901,Pseudogymnoascus,sp.
1420902,Pseudogymnoascus,sp.
1420906,Pseudogymnoascus,sp.
1420907,Pseudogymnoascus,sp.
1420909,Pseudogymnoascus,sp.
1420910,Pseudogymnoascus,sp.
1420912,Pseudogymnoascus,sp.
1420911,Pseudogymnoascus,sp.
1420913,Pseudogymnoascus,sp.
1420914,Pseudogymnoascus,sp.
1420915,Pseudogymnoascus,sp.
279965,Antrostomus,carolinensis
345573,Podiceps,cristatus
6185,Schistosoma,haematobium
9555,Papio,anubis
1377883,Endoxyla,amphiplecta
337399,Erodium,reichardii
644931,Caleta,caleta
36659,Volvariella,volvacea
1553122,Atheta,procera
1561992,Pholcus,chengpoi
752690,Rhinella,henseli
1545401,Enyalius,pictus
509921,Loxops,caeruleirostris
15368,Brachypodium,distachyon
4555,Setaria,italica
1562906,Cyclograpsus,granulosus
1550645,Hypsiglena,sp.
1485682,Mitosporidium,daphniae
4909,Pichia,kudriavzevii
94827,Tinamus,guttatus
50402,Charadrius,vociferus
3659,Cucumis,sativus
1375780,Paliga,damastesalis
13053,Scaptomyza,crassifemur
118573,Derxomyces,boninensis
1390368,Takashimella,koratensis
190354,Idaea,seriata
1539863,Crataegus,macrosperma
504586,Drosophila,imparisetae
150430,Panulirus,marginatus
1530025,Pandanus,patina
330555,Capillipedium,spicigerum
227580,Pseudoxya,diminuta
1521347,Magnaporthaceae,sp.
743951,Alternaria,nitrimali
569911,Leptorchestes,berolinensis
401535,Stenodactylus,petrii
58291,Rhizopus,microsporus
1531966,Torrubiella,hemipterigena
64175,Echis,coloratus
28588,Bactrocera,cucurbitae
27334,Penicillium,expansum
40296,Penicillium,italicum
56690,Tritrichomonas,suis
179210,Encephalartos,lehmannii
78609,Gonepteryx,rhamni
1288868,Curcuma,sp.
1392596,Pseudocodon,graminifolius
71410,Farfantepenaeus,brasiliensis
1465243,Callicarpa,ampla
1473841,Erythroneura,sp.
74557,Thraustotheca,clavata
229472,Heloniopsis,tubiflora
1171431,Trematochromis,benthicola
272725,Neolamprologus,modestus
167237,uncultured,Ulvophyceae
8324,Lissotriton,vulgaris
1491545,Exocelina,sp.
35708,Arundo,donax
30085,Lygus,hesperus
5141,Neurospora,crassa
29729,Gossypium,arboreum
52586,Erysiphe,necator
61180,Oesophagostomum,dentatum
3848,Glycine,soja
6265,Toxocara,canis
1136900,Haemoproteus,sp.
1185500,Metcalfa,pruinosa
942946,Pheosia,portlandia
1538708,Teratodiplogaster,sp.
153018,Byturus,ochraceus
166911,Tanysphyrus,lemnae
1588584,Pseudomedon,obsoletus
5833,Plasmodium,falciparum
4072,Capsicum,annuum
3347,Pinus,radiata
145413,Chaetodipus,spinatus
180788,Onygena,corvina
52344,Helicoverpa,assulta
1596004,Caenestheria,sp.
1602277,Caenestheriella,cf.
256425,Lissotriton,helveticus
1028688,Arion,vulgaris
29856,Clonostachys,rosea
35722,Parasitella,parasitica
92519,Boiga,irregularis
40382,Aspergillus,ustus
51022,Ancylostoma,duodenale
669202,Thelohanellus,kitauei
1473995,Hymenoptera,sp.
1484384,Peronospora,cerastii-anomali
108931,Nilaparvata,lugens
1610658,Aslauga,aura
1610701,Cyprinus,carpio
112478,Reticulitermes,miyatakei
758697,Reevesia,formosana
1614669,Bracon,sp.
1245769,Lachancea,lanzarotensis
123851,Ladona,fulva
91626,Mucor,ambiguus
1603295,fungal,sp.
64838,Fopius,arisanus
56998,Wollemia,nobilis
1016849,Exophiala,sideris
212818,Exophiala,mesophila
253628,Verruconis,gallopava
91928,Exophiala,spinifera
569365,Cladophialophora,immunda
215243,Exophiala,oligosperma
348802,Exophiala,xenobiotica
5601,Phialophora,americana
145388,Monoraphidium,neglectum
29730,Gossypium,raimondii
65489,Oryza,barthii
1432732,Crisularia,purpurotincta
457184,Persicaria,maculosa
53104,Paphiopedilum,niveum
375434,Leptodactylus,fallax
1571500,Darksidea,alpha
97321,Prunus,serrulata
3349,Pinus,sylvestris
3634,Gossypium,barbadense
162100,Peronospora,boni-henrici
226208,Salvia,miltiorrhiza
5005,Sporidiobolus,salmonicolor
56994,Araucaria,cunninghamii
29172,Dictyocaulus,viviparus
5857,Plasmodium,fragile
60711,Chlorocebus,sabaeus
77586,Leersia,perrieri
40148,Oryza,glumipatula
40149,Oryza,meridionalis
4536,Oryza,nivara
4537,Oryza,punctata
4529,Oryza,rufipogon
34284,Gossypium,turneri
53621,Tevnia,jerichonana
862701,Sorex,bedfordiae
354484,Acronychia,laevis
133488,Picochlorum,maculatum
1641711,Ulva,sp.
27389,Aporrectodea,rosea
1642393,Bairdiella,cf.
4097,Nicotiana,tabacum
5855,Plasmodium,vivax
7936,Anguilla,anguilla
1047168,Zymoseptoria,brevis
72032,Thielaviopsis,punctulata
54126,Pristionchus,pacificus
34513,Terebratalia,transversa
53078,Paphiopedilum,concolor
1636186,Nectria,dacryocarpa
1643448,Hemidactylus,adensis
1606861,Etisus,laevimanus
433907,Sporobolus,pyramidatus
62621,Lepus,timidus
1620192,Setaria,macrosperma
61387,Prionailurus,rubiginosus
49012,Sporisorium,scitamineum
5421,Xanthophyllomyces,dendrorhous
104259,Penicillium,brasilianum
8729,Crotalus,adamanteus
215358,Larimichthys,crocea
88771,Ceratocystis,platani
308745,Aspergillus,rambellii
138278,Aspergillus,ochraceoroseus
5544,Trichoderma,harzianum
158046,Phaeomoniella,chlamydospora
420778,Diplodia,seriata
1214573,Diaporthe,ampelina
10116,Rattus,norvegicus
7955,Danio,rerio
1439716,Niviventer,sp.
1548250,Chelator,sp.
86979,Xerophyllum,tenax
48975,Mesophyllum,erubescens
1034350,Jania,sagittata
1663161,Ceratosolen,sp.
9823,Sus,scrofa
1657136,Polymerus,diffusus
1656466,Erythroneura,ontari
1656625,Macropsis,basalis
23250,Francoa,sonchifolia
37360,Plasmodiophora,brassicae
100787,Verticillium,longisporum
27342,Schizopora,paradoxa
45130,Bipolaris,sorokiniana
52575,Phrynosoma,ditmarsi
140083,Kikihia,ochrina
118696,Nicotiana,forgetiana
1675117,Geometridae,sp.
235777,Orophea,creaghii
1679842,Zanthoxylum,sp.
