pfam_id,protein_id,description,start,stop
PF02800,A0A014PQC0,Glyceraldehyde 3-phosphate dehydrogenase catalytic domain,157,314
PF01650,A0A016S8J7,Peptidase C13 legumain,40,94
PF02931,A0A016S8J7,Neurotransmitter-gated ion-channel ligand-binding domain,23,39
PF00078,A0A016SK08,Reverse transcriptase domain,10,99
mobidb-lite,A0A016SLU4,disorder_prediction,1,33
mobidb-lite,A0A016SS41,disorder_prediction,516,551
mobidb-lite,A0A016T911,disorder_prediction,903,938
mobidb-lite,A0A016TEY5,disorder_prediction,106,159
mobidb-lite,A0A016TQ94,disorder_prediction,102,121
PF05001,A0A016TTS1,RNA polymerase II heptapeptide repeat eukaryotic,1634,1642
PF09133,A0A016U0V3,SANT associated,374,466
PF00435,A0A016U557,Spectrin repeat,710,811
PF01400,A0A016U701,Peptidase M12A,1,83
PF13639,A0A016UJ17,Zinc finger RING-type,308,350
PF00400,A0A016USI4,WD40 repeat,310,347
mobidb-lite,A0A016V1B2,disorder_prediction,1,46
PF00178,A0A016V7D3,Ets domain,442,525
PF02204,A0A016VK28,VPS9 domain,278,378
mobidb-lite,A0A016W2S6,disorder_prediction,124,145
PF04137,A0A016W9A4,Endoplasmic reticulum oxidoreductin 1,49,341
PF00550,A0A016WC87,Phosphopantetheine binding ACP domain,2071,2121
mobidb-lite,A0A016WF52,disorder_prediction,21,66
PF11904,A0A016WMQ5,Ankyrin repeat domain-containing protein 13,156,458
mobidb-lite,A0A016WYY3,disorder_prediction,144,181
mobidb-lite,A0A016WZR8,disorder_prediction,490,514
PF00408,A0A022PT25,Alpha-D-phosphohexomutase C-terminal,564,615
PF01095,A0A022PTA6,Pectinesterase catalytic,237,544
PF00400,A0A022PTS3,WD40 repeat,186,222
mobidb-lite,A0A022PUH6,disorder_prediction,1,31
PF14226,A0A022Q1E9,Non-haem dioxygenase N-terminal domain,3,75
mobidb-lite,A0A022QCU5,disorder_prediction,140,160
PF02519,A0A022QDW2,Small auxin-up RNA,4,67
PF13041,A0A022QFT7,Pentatricopeptide repeat,432,479
mobidb-lite,A0A022QQ15,disorder_prediction,357,395
mobidb-lite,A0A022QRH6,disorder_prediction,170,222
PF05920,A0A022QVZ8,Homeobox KN domain,357,396
mobidb-lite,A0A022R6W5,disorder_prediction,395,432
mobidb-lite,A0A022R8D2,disorder_prediction,510,723
PF00182,A0A022R8P9,Glycoside hydrolase family 19 catalytic,71,299
PF00270,A0A022RBU3,DEAD/DEAH box helicase domain,62,224
PF00230,A0A022RHH4,Major intrinsic protein,45,263
PF00069,A0A022RUE2,Protein kinase domain,205,475
PF03912,A0A022S239,Photosystem II Psb28 class 1,73,178
PF00375,A0A023EUI7,Sodium:dicarboxylate symporter,33,479
PF00089,A0A023EVQ2,Serine proteases trypsin domain,395,646
PF07646,A0A023EZK5,Kelch repeat type 2,301,350
PF07714,A0A023F3V4,Serine-threonine/tyrosine-protein kinase catalytic domain,79,335
PF01201,A0A023FI30,Ribosomal protein S8e/ribosomal biogenesis NSA2,32,259
PF02773,A0A023FPE9,S-adenosylmethionine synthetase C-terminal,319,453
PF00270,A0A023FVD0,DEAD/DEAH box helicase domain,80,244
PF00076,A0A023FVL6,RNA recognition motif domain,92,141
PF02221,A0A023FYT6,MD-2-related lipid-recognition domain,34,174
PF00418,A0A023G6L1,Microtubule associated protein  tubulin-binding repeat,99,122
PF00435,A0A023GFW4,Spectrin repeat,393,498
PF03311,A0A023GHF6,Cornichon,6,133
PF02210,A0A023GRW4,Laminin G domain,3825,3949
PF00033,A0A023I112,Cytochrome b/b6 N-terminal,1,174
PF00115,A0A023J1F3,Cytochrome c oxidase subunit I,8,313
PF00361,A0A023QKL5,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,134,418
PF00115,A0A024FLT0,Cytochrome c oxidase subunit I,1,239
