protein_id,clade,length,pfam_id,taxa_id
A0A014PQC0,E,338,PF02800,568076
A0A016S8J7,E,101,PF01650,53326
A0A016S8J7,E,101,PF02931,53326
A0A016SK08,E,194,PF00078,53326
A0A016SLU4,E,733,mobidb-lite,53326
A0A016SS41,E,865,mobidb-lite,53326
A0A016T911,E,1786,mobidb-lite,53326
A0A016TEY5,E,656,mobidb-lite,53326
A0A016TQ94,E,2006,mobidb-lite,53326
A0A016TTS1,E,1900,PF05001,53326
A0A016U0V3,E,1167,PF09133,53326
A0A016U557,E,2385,PF00435,53326
A0A016U701,E,281,PF01400,53326
A0A016UJ17,E,464,PF13639,53326
A0A016USI4,E,597,PF00400,53326
A0A016V1B2,E,1123,mobidb-lite,53326
A0A016V7D3,E,530,PF00178,53326
A0A016VK28,E,514,PF02204,53326
A0A016W2S6,E,419,mobidb-lite,53326
A0A016W9A4,E,362,PF04137,53326
A0A016WC87,E,7074,PF00550,53326
A0A016WF52,E,699,mobidb-lite,53326
A0A016WMQ5,E,624,PF11904,53326
A0A016WYY3,E,243,mobidb-lite,53326
A0A016WZR8,E,970,mobidb-lite,53326
A0A022PT25,E,640,PF00408,4155
A0A022PTA6,E,551,PF01095,4155
A0A022PTS3,E,329,PF00400,4155
A0A022PUH6,E,1200,mobidb-lite,4155
A0A022Q1E9,E,304,PF14226,4155
A0A022QCU5,E,505,mobidb-lite,4155
A0A022QDW2,E,79,PF02519,4155
A0A022QFT7,E,740,PF13041,4155
A0A022QQ15,E,395,mobidb-lite,4155
A0A022QRH6,E,245,mobidb-lite,4155
A0A022QVZ8,E,434,PF05920,4155
A0A022R6W5,E,432,mobidb-lite,4155
A0A022R8D2,E,723,mobidb-lite,4155
A0A022R8P9,E,322,PF00182,4155
A0A022RBU3,E,410,PF00270,4155
A0A022RHH4,E,277,PF00230,4155
A0A022RUE2,E,528,PF00069,4155
A0A022S239,E,181,PF03912,4155
A0A023EUI7,E,518,PF00375,7160
A0A023EVQ2,E,652,PF00089,7160
A0A023EZK5,E,500,PF07646,30076
A0A023F3V4,E,690,PF07714,30076
A0A023FI30,E,260,PF01201,34607
A0A023FPE9,E,460,PF02773,34607
A0A023FVD0,E,442,PF00270,251391
A0A023FVL6,E,240,PF00076,251391
A0A023FYT6,E,179,PF02221,251391
A0A023G6L1,E,309,PF00418,251400
A0A023GFW4,E,891,PF00435,251400
A0A023GHF6,E,151,PF03311,251400
A0A023GRW4,E,3989,PF02210,7227
A0A023I112,E,344,PF00033,1378113
A0A023J1F3,E,313,PF00115,1435083
A0A023QKL5,E,603,PF00361,9606
A0A024FLT0,E,239,PF00115,79622
A0A024FTK8,E,611,PF00400,65357
A0A024G5C5,E,912,PF00027,65357
A0A024GFP4,E,1064,PF02862,65357
A0A024GGN3,E,742,mobidb-lite,65357
A0A024GP81,E,444,mobidb-lite,65357
A0A024R4H4,E,1633,CoiledCoil,9606
A0A024RAU3,E,107,PF03061,9606
A0A024TDV8,E,646,PF00168,157072
A0A024TG61,E,135,PF01900,157072
A0A024TVP3,E,224,PF13359,157072
A0A024TY59,E,1786,mobidb-lite,157072
A0A024TZ94,E,401,PF05653,157072
A0A024U3V6,E,761,mobidb-lite,157072
A0A024UGI4,E,905,PF13516,157072
A0A024UR18,E,1348,PF13516,157072
A0A024URB8,E,229,PF05903,157072
A0A024USS3,E,410,mobidb-lite,157072
A0A024UUH1,E,1254,mobidb-lite,157072
A0A024UVM9,E,501,PF00999,157072
A0A026VVU8,E,1844,PF14765,443821
A0A026WA94,E,1023,PF12763,443821
A0A026WFV9,E,400,PF03165,443821
A0A026WNB9,E,145,PF11901,443821
A0A026WNG9,E,171,PF13181,443821
A0A026WNN5,E,722,PF11601,443821
A0A026WPD9,E,760,mobidb-lite,443821
A0A026WRX6,E,576,PF00858,443821
A0A026X1H8,E,537,PF01390,443821
A0A034V4R0,E,1366,mobidb-lite,27457
A0A034V4T3,E,1354,mobidb-lite,27457
A0A034V6Z1,E,555,mobidb-lite,27457
A0A034VC96,E,865,mobidb-lite,27457
A0A034VIM2,E,497,LowComplexity,27457
A0A034VKB0,E,1441,mobidb-lite,27457
A0A034VNJ9,E,621,mobidb-lite,27457
A0A034VUN5,E,1059,mobidb-lite,27457
A0A034VWU9,E,1167,PF03455,27457
A0A034W0S3,E,799,PF00412,27457
A0A034W5F9,E,119,PF15868,27457
A0A034W5K9,E,730,PF00412,27457
A0A034WAU9,E,259,PF00106,27457
A0A034WQH9,E,627,PF02770,27457
A0A034WSI6,E,576,PF00270,27457
A0A034WSM8,E,177,PF04420,27457
